## num_jobs: 1
# iodepth iops total_ios clat_ms clat_stdev usr_cpu sys_cpu OSD_cpu OSD_mem FIO_cpu FIO_mem
 1  55970.62  2511122.00  0.56  87.70  0.88  0.75  1064.31  1343.95  186.45  52.08 
 2  171762.53  51528930.00  0.37  0.27  2.55  2.18  0.00  0.00  810.62  211.50 
 4  250964.03  75289459.00  0.51  0.24  3.59  2.90  0.00  0.00  1455.76  363.00 
 8  340044.62  102014067.00  0.75  0.38  4.86  3.52  0.00  0.00  1887.47  478.50 
 16  358281.06  107485750.00  1.42  0.93  4.20  2.79  0.00  0.00  1597.23  523.50 
 24  381161.73  114356143.00  2.01  6.30  5.00  3.28  0.00  0.00  1860.14  538.50 
 32  340130.22  102048929.00  3.00  12.58  4.11  2.76  0.00  0.00  1568.37  496.50 
 40  368624.98  110626938.00  3.45  16.52  4.83  3.35  0.00  0.00  1830.60  528.00 
 52  356978.81  107113991.00  4.64  21.45  4.29  2.83  0.00  0.00  1630.56  516.00 
 64  370527.96  111188770.00  5.49  31.19  4.91  3.38  0.00  0.00  1837.00  528.00 
