#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119.90,85.00,38.50,0.00,0.00,0.00,0.00,0.00
112.80,82.50,35.90,0.00,0.00,0.00,0.00,0.00
114.50,81.30,36.70,0.00,0.00,0.00,0.00,0.00
117.00,82.80,38.10,0.00,0.00,0.00,0.00,0.00
113.50,81.90,34.40,0.00,0.00,0.00,0.00,0.00
115.40,81.30,37.30,0.00,0.00,0.00,0.00,0.00
112.20,80.40,37.10,0.00,0.00,0.00,0.00,0.00
115.40,82.30,35.70,0.00,0.00,0.00,0.00,0.00
113.00,83.70,35.90,0.00,0.00,0.00,0.00,0.00
116.10,79.90,34.70,0.00,0.00,0.00,0.00,0.00
112.90,82.50,37.30,0.00,0.00,0.00,0.00,0.00
114.70,82.80,35.30,0.00,0.00,0.00,0.00,0.00
112.20,78.80,37.80,0.00,0.00,0.00,0.00,0.00
113.50,83.10,37.50,0.00,0.00,0.00,0.00,0.00
114.90,81.20,35.30,0.00,0.00,0.00,0.00,0.00
116.10,81.50,37.90,0.00,0.00,0.00,0.00,0.00
112.50,82.30,36.20,0.00,0.00,0.00,0.00,0.00
116.60,84.70,35.60,0.00,0.00,0.00,0.00,0.00
112.50,81.60,35.00,0.00,0.00,0.00,0.00,0.00
114.30,82.80,37.10,0.00,0.00,0.00,0.00,0.00
112.10,78.60,36.30,0.00,0.00,0.00,0.00,0.00
116.30,83.30,37.50,0.00,0.00,0.00,0.00,0.00
38.80,29.20,10.80,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
105.60,80.60,49.60,0.00,0.00,0.00,0.00,0.00
145.40,105.00,46.20,0.00,0.00,0.00,0.00,0.00
