#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163.50,87.00,28.60,0.00,0.00,0.00,0.00,0.00
166.60,91.70,27.60,0.00,0.00,0.00,0.00,0.00
167.70,90.40,29.30,0.00,0.00,0.00,0.00,0.00
163.40,86.30,27.70,0.00,0.00,0.00,0.00,0.00
167.60,92.30,28.70,0.00,0.00,0.00,0.00,0.00
167.90,87.60,27.40,0.00,0.00,0.00,0.00,0.00
168.60,90.30,27.40,0.00,0.00,0.00,0.00,0.00
166.30,89.80,29.30,0.00,0.00,0.00,0.00,0.00
167.20,89.10,27.80,0.00,0.00,0.00,0.00,0.00
165.90,88.90,27.80,0.00,0.00,0.00,0.00,0.00
126.60,71.40,22.70,0.00,0.00,0.00,0.00,0.00
83.10,53.00,15.30,0.00,0.00,0.00,0.00,0.00
52.90,35.20,10.60,0.00,0.00,0.00,0.00,0.00
29.20,15.80,4.90,0.00,0.00,0.00,0.00,0.00
14.50,8.20,2.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.30,0.30,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.60,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
74.40,68.20,6.20,0.00,0.00,0.00,0.00,0.00
121.80,75.30,24.90,0.00,0.00,0.00,0.00,0.00
120.40,72.10,23.00,0.00,0.00,0.00,0.00,0.00
121.00,75.00,25.30,0.00,0.00,0.00,0.00,0.00
119.10,74.10,22.90,0.00,0.00,0.00,0.00,0.00
120.00,74.70,24.90,0.00,0.00,0.00,0.00,0.00
119.30,74.10,23.00,0.00,0.00,0.00,0.00,0.00
119.70,76.50,25.90,0.00,0.00,0.00,0.00,0.00
124.90,75.30,21.60,0.00,0.00,0.00,0.00,0.00
121.70,71.50,24.80,0.00,0.00,0.00,0.00,0.00
121.00,77.70,25.70,0.00,0.00,0.00,0.00,0.00
117.70,72.10,22.70,0.00,0.00,0.00,0.00,0.00
115.80,74.70,23.00,0.00,0.00,0.00,0.00,0.00
120.90,74.60,23.50,0.00,0.00,0.00,0.00,0.00
119.00,73.50,26.10,0.00,0.00,0.00,0.00,0.00
122.50,72.50,25.00,0.00,0.00,0.00,0.00,0.00
48.10,30.80,8.50,0.00,0.00,0.00,0.00,0.00
0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
