#msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73.70,42.80,27.10,0.00,0.00,0.00,0.00,0.00
81.40,47.30,27.90,0.00,0.00,0.00,0.00,0.00
76.10,48.00,28.40,0.00,0.00,0.00,0.00,0.00
71.80,45.30,26.00,0.00,0.00,0.00,0.00,0.00
81.60,44.80,29.00,0.00,0.00,0.00,0.00,0.00
72.40,43.50,25.00,0.00,0.00,0.00,0.00,0.00
74.20,47.00,29.10,0.00,0.00,0.00,0.00,0.00
68.20,41.00,23.90,0.00,0.00,0.00,0.00,0.00
67.40,46.00,25.20,0.00,0.00,0.00,0.00,0.00
88.00,48.40,30.50,0.00,0.00,0.00,0.00,0.00
103.00,57.30,32.90,0.00,0.00,0.00,0.00,0.00
85.80,48.60,32.30,0.00,0.00,0.00,0.00,0.00
75.80,46.30,28.70,0.00,0.00,0.00,0.00,0.00
75.10,45.40,27.50,0.00,0.00,0.00,0.00,0.00
78.90,49.30,29.60,0.00,0.00,0.00,0.00,0.00
101.00,56.40,33.60,0.00,0.00,0.00,0.00,0.00
96.90,56.30,35.10,0.00,0.00,0.00,0.00,0.00
68.10,45.00,25.60,0.00,0.00,0.00,0.00,0.00
86.10,47.20,29.40,0.00,0.00,0.00,0.00,0.00
77.40,49.50,28.60,0.00,0.00,0.00,0.00,0.00
79.40,47.00,28.20,0.00,0.00,0.00,0.00,0.00
99.00,59.80,35.20,0.00,0.00,0.00,0.00,0.00
78.80,46.90,29.30,0.00,0.00,0.00,0.00,0.00
72.10,46.50,29.10,0.00,0.00,0.00,0.00,0.00
77.00,46.80,30.50,0.00,0.00,0.00,0.00,0.00
79.60,48.10,30.20,0.00,0.00,0.00,0.00,0.00
75.70,46.00,29.30,0.00,0.00,0.00,0.00,0.00
79.50,51.20,27.40,0.00,0.00,0.00,0.00,0.00
72.70,46.40,26.20,0.00,0.00,0.00,0.00,0.00
99.40,86.80,6.20,0.00,0.00,0.00,0.00,0.00
111.90,56.30,32.90,0.00,0.00,0.00,0.00,0.00
108.40,56.70,36.00,0.00,0.00,0.00,0.00,0.00
96.10,50.30,31.70,0.00,0.00,0.00,0.00,0.00
96.70,51.70,31.80,0.00,0.00,0.00,0.00,0.00
94.30,50.40,30.90,0.00,0.00,0.00,0.00,0.00
122.80,62.00,38.30,0.00,0.00,0.00,0.00,0.00
121.80,61.60,40.00,0.00,0.00,0.00,0.00,0.00
112.30,55.80,36.40,0.00,0.00,0.00,0.00,0.00
84.50,51.20,29.50,0.00,0.00,0.00,0.00,0.00
85.00,48.30,29.30,0.00,0.00,0.00,0.00,0.00
90.20,51.80,29.20,0.00,0.00,0.00,0.00,0.00
82.00,43.80,28.30,0.00,0.00,0.00,0.00,0.00
64.40,38.90,21.00,0.00,0.00,0.00,0.00,0.00
55.30,27.90,18.50,0.00,0.00,0.00,0.00,0.00
24.00,12.20,9.00,0.00,0.00,0.00,0.00,0.00
6.90,3.00,2.60,0.00,0.00,0.00,0.00,0.00
4.00,2.00,1.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.60,0.00,0.00,0.00,0.00,0.00
0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00
124.30,49.60,31.00,0.00,0.00,0.00,0.00,0.00
142.40,77.50,45.00,0.00,0.00,0.00,0.00,0.00
136.50,70.00,46.20,0.00,0.00,0.00,0.00,0.00
129.60,71.10,40.70,0.00,0.00,0.00,0.00,0.00
112.90,66.20,38.00,0.00,0.00,0.00,0.00,0.00
110.20,66.10,39.80,0.00,0.00,0.00,0.00,0.00
